gene	biotype
AC004875.1	miRNA
AC004878.2	antisense
AC004878.7	sense_intronic
AC004878.8	antisense
AC004893.11	antisense
AC004895.1	miRNA
AC004895.4	lincRNA
AC004899.1	protein_coding
AC004901.1	processed_transcript
AC004906.3	antisense
AC004920.3	lincRNA
AC004924.1	miRNA
AC004941.3	antisense
AC004943.1	miRNA
AC004947.2	lincRNA
AC004951.6	lincRNA
AC004969.1	miRNA
AC004980.1	miRNA
AC004980.7	pseudogene
AC004988.1	antisense
AC005000.2	miRNA
AC005003.1	protein_coding
AC005008.2	protein_coding
AC005009.1	antisense
AC005009.2	antisense
AC005013.5	lincRNA
AC005019.3	lincRNA
AC005020.1	miRNA
AC005022.1	lincRNA
AC005027.3	sense_overlapping
AC005029.1	lincRNA
AC005037.2	miRNA
AC005037.3	antisense
AC005041.17	antisense
AC005042.4	antisense
AC005042.5	lincRNA
AC005048.1	miRNA
AC005062.2	sense_overlapping
AC005071.1	miRNA
AC005076.5	antisense
AC005077.12	pseudogene
AC005077.5	pseudogene
AC005082.12	lincRNA
AC005082.1	protein_coding
AC005083.1	processed_transcript
AC005088.1	miRNA
AC005104.3	antisense
AC005150.1	lincRNA
AC005152.2	processed_transcript
AC005152.3	lincRNA
AC005154.6	processed_transcript
AC005159.1	miRNA
AC005160.3	sense_intronic
AC005161.1	miRNA
AC005162.4	antisense
AC005162.5	antisense
AC005176.2	pseudogene
AC005195.1	miRNA
AC005197.2	antisense
AC005215.1	miRNA
AC005220.3	antisense
AC005224.2	antisense
AC005229.1	miRNA
AC005235.1	lincRNA
AC005237.4	antisense
AC005253.2	antisense
AC005253.4	antisense
AC005256.1	lincRNA
AC005262.2	antisense
AC005262.3	antisense
AC005264.2	antisense
AC005276.1	lincRNA
AC005281.1	lincRNA
AC005281.2	antisense
AC005284.1	miRNA
AC005288.1	miRNA
AC005301.8	lincRNA
AC005304.1	lincRNA
AC005306.3	antisense
AC005307.1	lincRNA
AC005307.3	lincRNA
AC005324.6	antisense
AC005324.7	lincRNA
AC005329.7	antisense
AC005330.2	lincRNA
AC005339.2	antisense
AC005355.1	lincRNA
AC005355.2	lincRNA
AC005356.1	lincRNA
AC005358.1	protein_coding
AC005358.3	antisense
AC005370.1	miRNA
