region	signal	gene	N_SNPs_signal	gene_score	gene_inquisit_level
BCAC_FM_140	signal1	VPS33B	22	1	2
BCAC_FM_142	signal1	CNTD1	8	1	2
BCAC_FM_142	signal1	WNK4	8	1	2
BCAC_FM_144	signal1	GAREM1	19	NA	NA
BCAC_FM_146	signal1	CALR	21	1	2
BCAC_FM_146	signal1	GCDH	21	1	2
BCAC_FM_146	signal1	MAST1	21	1	2
BCAC_FM_148	signal1	PLA2G6	27	1	2
BCAC_FM_148	signal2	APOBEC3A	4	1	2
BCAC_FM_148	signal2	APOBEC3A_B	4	NA	NA
BCAC_FM_15	signal3	DIRC3	42	1	2
BCAC_FM_150	signal1	EP300	10	2	1
BCAC_FM_150	signal1	ACO2	10	1	2
BCAC_FM_16	signal1	ITPR1	4	1	2
BCAC_FM_164	signal1	RPL23AP53	25	NA	NA
BCAC_FM_165	CIMBA	ATM	8	3	1
BCAC_FM_165	CIMBA	EXPH5	8	1	2
BCAC_FM_165	CIMBA	KDELC2	8	1	2
BCAC_FM_165	signal1	ATM	59	2	1
BCAC_FM_165	signal1	C11orf65	59	1	2
BCAC_FM_165	signal1	KDELC2	59	1	2
BCAC_FM_17	signal1	NEK10	44	1	2
BCAC_FM_17	signal2	NEK10	12	1	2
BCAC_FM_18	signal1	TGFBR2	23	2	1
BCAC_FM_19	CIMBA	CCDC12	16	1	2
BCAC_FM_2	signal1	AP4B1	12	1	2
BCAC_FM_2	signal1	DCLRE1B	12	1	2
BCAC_FM_20	signal1	ATXN7	94	2	1
BCAC_FM_20	signal1	PSMD6	94	1	2
BCAC_FM_20	signal1	THOC7	94	1	2
BCAC_FM_21	signal1	TET2	21	2	1
BCAC_FM_21	signal1	TET2-AS1	21	0.1	3
BCAC_FM_22	signal1	ADAM29	11	1	2
BCAC_FM_22	signal2	ADAM29	11	1	2
BCAC_FM_23	signal1	TERT	1	1	2
BCAC_FM_23	signal2	TERT	5	1	2
BCAC_FM_23	signal3	SLC6A18	23	1	2
BCAC_FM_23	signal3	SLC6A19	23	1	2
BCAC_FM_26	signal3	MRPS30	72	1	2
BCAC_FM_27	CIMBA	C5orf67	16	1	2
BCAC_FM_27	signal3	MAP3K1	21	2	1
BCAC_FM_28	signal1	PDE4D	30	1	2
BCAC_FM_28	signal2	PDE4D	5	1	2
BCAC_FM_29	signal1	ATG10	23	1	2
BCAC_FM_30	signal1	EBF1	5	1	2
BCAC_FM_32	signal1	RANBP9	51	1	2
BCAC_FM_33	signal1	TRIM27	36	1	2
BCAC_FM_33	signal1	OR2B3	36	0.1	3
BCAC_FM_35	signal4	CCDC170	6	1	2
BCAC_FM_35	signal5	ESR1	173	2	1
BCAC_FM_35	signal6	ESR1	22	2	1
BCAC_FM_36	signal1	AKAP9	318	2	1
BCAC_FM_36	signal1	CYP51A1	318	1	2
BCAC_FM_36	signal1	CYP51A1-AS1	318	1	2
BCAC_FM_36	signal1	LRRD1	318	1	2
BCAC_FM_37	signal1	LINC-PINT	6	1	2
BCAC_FM_37	signal2	LINC-PINT	4	1	2
BCAC_FM_38	signal1	OR2A1-AS1	2	1	2
BCAC_FM_4	signal1	POLR3C	35	1	2
BCAC_FM_4	signal1	RNF115	35	1	2
BCAC_FM_42	signal1	LINC00536	164	1	2
BCAC_FM_43	signal4	CASC21	43	1	2
BCAC_FM_43	signal4	CASC8	43	1	2
BCAC_FM_47	signal2	DNAJC1	58	1	2
